Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,John Lovett (15355816),John Lovett,15355816,RB/FLEX,4000,DET@GB 09/20/2020 01:00PM ET,GB,0
RB,Kerryon Johnson (15355818),Kerryon Johnson,15355818,RB/FLEX,4000,DET@GB 09/20/2020 01:00PM ET,DET,1.4
RB,Ty Johnson (15355820),Ty Johnson,15355820,RB/FLEX,4000,DET@GB 09/20/2020 01:00PM ET,DET,0
RB,Jonathan Williams (15355822),Jonathan Williams,15355822,RB/FLEX,4000,DET@GB 09/20/2020 01:00PM ET,DET,0
RB,Bo Scarbrough (15355824),Bo Scarbrough,15355824,RB/FLEX,4000,DET@GB 09/20/2020 01:00PM ET,DET,0
QB,C.J. Beathard (15355589),C.J. Beathard,15355589,QB,4000,SF@NYJ 09/20/2020 01:00PM ET,SF,0
QB,James Morgan (15355590),James Morgan,15355590,QB,4000,SF@NYJ 09/20/2020 01:00PM ET,NYJ,0
QB,Mike White (15355591),Mike White,15355591,QB,4000,SF@NYJ 09/20/2020 01:00PM ET,NYJ,0
RB,Tevin Coleman (15355802),Tevin Coleman,15355802,RB/FLEX,4000,SF@NYJ 09/20/2020 01:00PM ET,SF,3.4
RB,Jeff Wilson Jr. (15355804),Jeff Wilson Jr.,15355804,RB/FLEX,4000,SF@NYJ 09/20/2020 01:00PM ET,SF,0
RB,Kyle Juszczyk (15355806),Kyle Juszczyk,15355806,RB/FLEX,4000,SF@NYJ 09/20/2020 01:00PM ET,SF,5.8
RB,La'Mical Perine (15355808),La'Mical Perine,15355808,RB/FLEX,4000,SF@NYJ 09/20/2020 01:00PM ET,NYJ,0
DST,49ers  (15356386),49ers ,15356386,DST,4000,SF@NYJ 09/20/2020 01:00PM ET,SF,4
RB,Wayne Gallman Jr. (15355796),Wayne Gallman Jr.,15355796,RB/FLEX,4000,NYG@CHI 09/20/2020 01:00PM ET,NYG,2.4
RB,Elijhaa Penny (15355798),Elijhaa Penny,15355798,RB/FLEX,4000,NYG@CHI 09/20/2020 01:00PM ET,NYG,0
RB,Ryan Nall (15355800),Ryan Nall,15355800,RB/FLEX,4000,NYG@CHI 09/20/2020 01:00PM ET,CHI,0
RB,Jason Huntley (15355790),Jason Huntley,15355790,RB/FLEX,4000,LAR@PHI 09/20/2020 01:00PM ET,PHI,0.1
RB,Xavier Jones (15355792),Xavier Jones,15355792,RB/FLEX,4000,LAR@PHI 09/20/2020 01:00PM ET,LAR,0
RB,Raymond Calais (15355794),Raymond Calais,15355794,RB/FLEX,4000,LAR@PHI 09/20/2020 01:00PM ET,LAR,0
WR,Josh Reynolds (15355962),Josh Reynolds,15355962,WR/FLEX,4000,LAR@PHI 09/20/2020 01:00PM ET,LAR,2.7
QB,Jake Luton (15355588),Jake Luton,15355588,QB,4000,JAX@TEN 09/20/2020 01:00PM ET,JAX,0
RB,Chris Thompson (15355774),Chris Thompson,15355774,RB/FLEX,4000,JAX@TEN 09/20/2020 01:00PM ET,JAX,2.6
RB,Nathan Cottrell (15355776),Nathan Cottrell,15355776,RB/FLEX,4000,JAX@TEN 09/20/2020 01:00PM ET,JAX,0
RB,Dare Ogunbowale (15355778),Dare Ogunbowale,15355778,RB/FLEX,4000,JAX@TEN 09/20/2020 01:00PM ET,JAX,0
RB,Devine Ozigbo (15355780),Devine Ozigbo,15355780,RB/FLEX,4000,JAX@TEN 09/20/2020 01:00PM ET,JAX,0
RB,Bruce Miller (15355782),Bruce Miller,15355782,RB/FLEX,4000,JAX@TEN 09/20/2020 01:00PM ET,JAX,1.2
RB,Darrynton Evans (15355784),Darrynton Evans,15355784,RB/FLEX,4000,JAX@TEN 09/20/2020 01:00PM ET,TEN,0
RB,Senorise Perry (15355786),Senorise Perry,15355786,RB/FLEX,4000,JAX@TEN 09/20/2020 01:00PM ET,TEN,0
RB,Khari Blasingame (15355788),Khari Blasingame,15355788,RB/FLEX,4000,JAX@TEN 09/20/2020 01:00PM ET,TEN,1.5
WR,Corey Davis (15355960),Corey Davis,15355960,WR/FLEX,4000,JAX@TEN 09/20/2020 01:00PM ET,TEN,20.1
QB,P.J. Walker (15355586),P.J. Walker,15355586,QB,4000,CAR@TB 09/20/2020 01:00PM ET,CAR,0
QB,Ryan Griffin (15355587),Ryan Griffin,15355587,QB,4000,CAR@TB 09/20/2020 01:00PM ET,TB,0
RB,Ke'Shawn Vaughn (15355696),Ke'Shawn Vaughn,15355696,RB/FLEX,4000,CAR@TB 09/20/2020 01:00PM ET,TB,0
RB,LeSean McCoy (15355698),LeSean McCoy,15355698,RB/FLEX,4000,CAR@TB 09/20/2020 01:00PM ET,TB,1.2
RB,Mike Davis (15355766),Mike Davis,15355766,RB/FLEX,4000,CAR@TB 09/20/2020 01:00PM ET,CAR,0
RB,Trenton Cannon (15355768),Trenton Cannon,15355768,RB/FLEX,4000,CAR@TB 09/20/2020 01:00PM ET,CAR,0
RB,Alex Armah (15355770),Alex Armah,15355770,RB/FLEX,4000,CAR@TB 09/20/2020 01:00PM ET,CAR,0.1
RB,T.J. Logan (15355772),T.J. Logan,15355772,RB/FLEX,4000,CAR@TB 09/20/2020 01:00PM ET,TB,0
QB,Josh Dobbs (15355585),Josh Dobbs,15355585,QB,4000,DEN@PIT 09/20/2020 01:00PM ET,PIT,0
RB,Anthony McFarland Jr. (15355758),Anthony McFarland Jr.,15355758,RB/FLEX,4000,DEN@PIT 09/20/2020 01:00PM ET,PIT,0
RB,Jaylen Samuels (15355760),Jaylen Samuels,15355760,RB/FLEX,4000,DEN@PIT 09/20/2020 01:00PM ET,PIT,1.3
RB,Derek Watt (15355762),Derek Watt,15355762,RB/FLEX,4000,DEN@PIT 09/20/2020 01:00PM ET,PIT,0
RB,Royce Freeman (15355764),Royce Freeman,15355764,RB/FLEX,4000,DEN@PIT 09/20/2020 01:00PM ET,DEN,2.2
QB,Ben DiNucci (15355584),Ben DiNucci,15355584,QB,4000,ATL@DAL 09/20/2020 01:00PM ET,DAL,0
RB,Rico Dowdle (15355748),Rico Dowdle,15355748,RB/FLEX,4000,ATL@DAL 09/20/2020 01:00PM ET,DAL,0
RB,Brian Hill (15355750),Brian Hill,15355750,RB/FLEX,4000,ATL@DAL 09/20/2020 01:00PM ET,ATL,4
RB,Ito Smith (15355752),Ito Smith,15355752,RB/FLEX,4000,ATL@DAL 09/20/2020 01:00PM ET,ATL,3.6
RB,Qadree Ollison (15355754),Qadree Ollison,15355754,RB/FLEX,4000,ATL@DAL 09/20/2020 01:00PM ET,ATL,0
RB,Keith Smith (15355756),Keith Smith,15355756,RB/FLEX,4000,ATL@DAL 09/20/2020 01:00PM ET,ATL,0
QB,Jacob Eason (15355583),Jacob Eason,15355583,QB,4000,MIN@IND 09/20/2020 01:00PM ET,IND,0
RB,Ameer Abdullah (15355738),Ameer Abdullah,15355738,RB/FLEX,4000,MIN@IND 09/20/2020 01:00PM ET,MIN,0
RB,Mike Boone (15355740),Mike Boone,15355740,RB/FLEX,4000,MIN@IND 09/20/2020 01:00PM ET,MIN,0
RB,C.J. Ham (15355742),C.J. Ham,15355742,RB/FLEX,4000,MIN@IND 09/20/2020 01:00PM ET,MIN,0
RB,Jordan Wilkins (15355744),Jordan Wilkins,15355744,RB/FLEX,4000,MIN@IND 09/20/2020 01:00PM ET,IND,0
RB,Bruce Anderson III (15355746),Bruce Anderson III,15355746,RB/FLEX,4000,MIN@IND 09/20/2020 01:00PM ET,IND,0
RB,Patrick Laird (15355728),Patrick Laird,15355728,RB/FLEX,4000,BUF@MIA 09/20/2020 01:00PM ET,MIA,2.9
RB,Malcolm Perry (15355730),Malcolm Perry,15355730,RB/FLEX,4000,BUF@MIA 09/20/2020 01:00PM ET,MIA,0
RB,Chandler Cox (15355732),Chandler Cox,15355732,RB/FLEX,4000,BUF@MIA 09/20/2020 01:00PM ET,MIA,0
RB,T.J. Yeldon (15355734),T.J. Yeldon,15355734,RB/FLEX,4000,BUF@MIA 09/20/2020 01:00PM ET,BUF,0
RB,Taiwan Jones (15355736),Taiwan Jones,15355736,RB/FLEX,4000,BUF@MIA 09/20/2020 01:00PM ET,BUF,0
TE,Mike Gesicki (15356208),Mike Gesicki,15356208,TE/FLEX,4000,BUF@MIA 09/20/2020 01:00PM ET,MIA,6
QB,Chris Streveler (15355582),Chris Streveler,15355582,QB,4000,WAS@ARI 09/20/2020 04:05PM ET,ARI,0.3
RB,Bryce Love (15355722),Bryce Love,15355722,RB/FLEX,4000,WAS@ARI 09/20/2020 04:05PM ET,WAS,0
RB,Eno Benjamin (15355724),Eno Benjamin,15355724,RB/FLEX,4000,WAS@ARI 09/20/2020 04:05PM ET,ARI,0
RB,D.J. Foster (15355726),D.J. Foster,15355726,RB/FLEX,4000,WAS@ARI 09/20/2020 04:05PM ET,ARI,0
QB,Easton Stick (15355581),Easton Stick,15355581,QB,4000,KC@LAC 09/20/2020 04:25PM ET,LAC,0
RB,Justin Jackson (15355712),Justin Jackson,15355712,RB/FLEX,4000,KC@LAC 09/20/2020 04:25PM ET,LAC,0.4
RB,Gabe Nabers (15355714),Gabe Nabers,15355714,RB/FLEX,4000,KC@LAC 09/20/2020 04:25PM ET,LAC,0
RB,Darrel Williams (15355716),Darrel Williams,15355716,RB/FLEX,4000,KC@LAC 09/20/2020 04:25PM ET,KC,5
RB,Darwin Thompson (15355718),Darwin Thompson,15355718,RB/FLEX,4000,KC@LAC 09/20/2020 04:25PM ET,KC,0
RB,Anthony Sherman (15355720),Anthony Sherman,15355720,RB/FLEX,4000,KC@LAC 09/20/2020 04:25PM ET,KC,0.2
QB,Trace McSorley (15355580),Trace McSorley,15355580,QB,4000,BAL@HOU 09/20/2020 04:25PM ET,BAL,0
RB,Gus Edwards (15355700),Gus Edwards,15355700,RB/FLEX,4000,BAL@HOU 09/20/2020 04:25PM ET,BAL,1.7
RB,Justice Hill (15355702),Justice Hill,15355702,RB/FLEX,4000,BAL@HOU 09/20/2020 04:25PM ET,BAL,0
RB,Patrick Ricard (15355704),Patrick Ricard,15355704,RB/FLEX,4000,BAL@HOU 09/20/2020 04:25PM ET,BAL,0.8
RB,Duke Johnson (15355706),Duke Johnson,15355706,RB/FLEX,4000,BAL@HOU 09/20/2020 04:25PM ET,HOU,1.4
RB,Buddy Howell (15355708),Buddy Howell,15355708,RB/FLEX,4000,BAL@HOU 09/20/2020 04:25PM ET,HOU,0
RB,Cullen Gillaspia (15355710),Cullen Gillaspia,15355710,RB/FLEX,4000,BAL@HOU 09/20/2020 04:25PM ET,HOU,0
RB,Scottie Phillips (15355826),Scottie Phillips,15355826,RB/FLEX,4000,BAL@HOU 09/20/2020 04:25PM ET,HOU,0
WR,Jalen Hurd (15355970),Jalen Hurd,15355970,WR/FLEX,3900,SF@NYJ 09/20/2020 01:00PM ET,SF,0
WR,Dede Westbrook (15355964),Dede Westbrook,15355964,WR/FLEX,3900,JAX@TEN 09/20/2020 01:00PM ET,JAX,0
TE,O.J. Howard (15356210),O.J. Howard,15356210,TE/FLEX,3900,CAR@TB 09/20/2020 01:00PM ET,TB,13.6
WR,Olabisi Johnson (15355966),Olabisi Johnson,15355966,WR/FLEX,3900,MIN@IND 09/20/2020 01:00PM ET,MIN,8.6
WR,Jakeem Grant (15355968),Jakeem Grant,15355968,WR/FLEX,3900,BUF@MIA 09/20/2020 01:00PM ET,MIA,5.5
DST,Bills  (15356387),Bills ,15356387,DST,3900,BUF@MIA 09/20/2020 01:00PM ET,BUF,8
WR,Quintez Cephus (15355974),Quintez Cephus,15355974,WR/FLEX,3800,DET@GB 09/20/2020 01:00PM ET,DET,7.3
