Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
231,Brian Hill\HillBr02,ATL,RB,25,2,0,0,0,0,0,0,6,26,4.33,0,4,4,19,4.75,0,0,0,0,,,5,8.5,8.5,6.5,,74,
232,Giovani Bernard\BernGi00,CIN,RB,29,2,0,0,0,0,0,0,2,10,5.00,0,12,9,43,4.78,0,0,0,0,,,5,14.3,14.3,9.8,,68,
233,Drew Sample\SampDr00,CIN,TE,24,2,0,0,0,0,0,0,0,0,,0,10,8,52,6.50,0,0,0,0,,,5,13.2,13.2,9.2,,32,
234,KhaDarel Hodge\HodgKh00,CLE,WR,25,2,0,0,0,0,0,0,0,0,,0,5,3,51,17.00,0,0,0,0,,,5,8.1,8.1,6.6,,103,
235,Jack Doyle\DoylJa00,IND,TE,30,1,1,0,0,0,0,0,0,0,,0,4,3,49,16.33,0,0,0,0,,,5,7.9,7.9,6.4,,34,
236,Michael Pittman Jr.\PittMi01,IND,WR,23,2,0,0,0,0,0,0,0,0,,0,8,6,47,7.83,0,0,0,0,,,5,10.7,10.7,7.7,,108,
237,Dan Arnold\ArnoDa00,ARI,TE,25,2,2,0,0,0,0,0,0,0,,0,6,4,47,11.75,0,1,0,0,,,5,8.7,8.7,6.7,,35,
238,Tim Patrick\PatrTi00,DEN,WR,27,2,2,0,0,0,0,0,0,0,,0,10,6,53,8.83,0,0,0,0,,,5,11.3,11.3,8.3,,101,
239,Tyler Ervin\ErviTy00,GNB,RB,27,2,0,0,0,0,0,0,3,38,12.67,0,2,2,10,5.00,0,0,0,0,,,5,6.8,6.8,5.8,,72,
240,Chris Conley\ConlCh00,JAX,WR,28,2,0,0,0,0,0,0,0,0,,0,8,5,54,10.80,0,0,0,0,,,5,10.4,10.4,7.9,,99,
241,Demarcus Robinson\RobiDe01,KAN,WR,26,2,1,0,0,0,0,0,0,0,,0,10,6,48,8.00,0,0,0,0,,,5,10.8,10.8,7.8,,106,
242,Taysom Hill\HillTa00,NOR,QB,30,2,1,1,1,38,0,0,5,21,4.20,0,1,1,14,14.00,0,0,0,0,,,5,6.0,6.0,5.5,,35,
243,James White\WhitJa02,NWE,RB,28,1,0,0,0,0,0,0,5,22,4.40,0,3,3,30,10.00,0,0,0,0,,,5,8.2,8.2,6.7,,69,
244,C.J. Board\BoarC.00,NYG,WR,27,2,0,0,0,0,0,0,0,0,,0,5,5,49,9.80,0,0,0,0,,,5,9.9,9.9,7.4,,105,
245,Golden Tate\TateGo00,NYG,WR,32,1,0,0,0,0,0,0,0,0,,0,5,5,47,9.40,0,0,0,0,,,5,9.7,9.7,7.2,,107,
246,Le'Veon Bell\BellLe00,NYJ,RB,28,1,1,0,0,0,0,0,6,14,2.33,0,2,2,32,16.00,0,0,0,0,,,5,6.6,6.6,5.6,,73,
247,Anthony Firkser\FirkAn00,TEN,TE,25,2,0,0,0,0,0,0,0,0,,0,6,6,50,8.33,0,0,0,0,,,5,11.0,11.0,8.0,,33,
